question_id,db_id,p_t,r_t,f1_t,p_c,r_c,f1_c
57,SBODemoUS-Business Partners,0.0,0.0,0.0,0.0,0.0,0.0
58,ATBI,1.0,0.6666666666666666,0.8,0.75,0.42857142857142855,0.5454545454545454
59,NTSB,1.0,1.0,1.0,0.0,0.0,0.0
60,PacificIslandLandbirds,1.0,0.5,0.6666666666666666,0.5,0.4,0.4444444444444445
61,ASIS_20161108_HerpInv_Database,1.0,1.0,1.0,1.0,1.0,1.0
62,SBODemoUS-Service,0.0,0.0,0.0,0.0,0.0,0.0
63,PacificIslandLandbirds,1.0,0.5,0.6666666666666666,1.0,0.3333333333333333,0.5
64,NYSED_SRC2022,1.0,0.5,0.6666666666666666,0.5,0.4,0.4444444444444445
65,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
66,ASIS_20161108_HerpInv_Database,0.5,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8
67,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
68,NYSED_SRC2022,1.0,1.0,1.0,0.75,1.0,0.8571428571428571
69,ATBI,0.6666666666666666,1.0,0.8,0.4,0.6666666666666666,0.5
70,CratersWildlifeObservations,1.0,0.5,0.6666666666666666,1.0,0.3333333333333333,0.5
71,ATBI,0.0,0.0,0.0,0.0,0.0,0.0
72,NTSB,1.0,1.0,1.0,0.0,0.0,0.0
73,KlamathInvasiveSpecies,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
74,NYSED_SRC2022,0.0,0.0,0.0,0.0,0.0,0.0
75,NYSED_SRC2022,1.0,1.0,1.0,1.0,0.6,0.7499999999999999
76,ATBI,1.0,1.0,1.0,0.6666666666666666,1.0,0.8
77,PacificIslandLandbirds,0.0,0.0,0.0,0.0,0.0,0.0
78,NTSB,1.0,1.0,1.0,1.0,0.6666666666666666,0.8
79,NYSED_SRC2022,1.0,1.0,1.0,0.6666666666666666,0.5,0.5714285714285715
80,KlamathInvasiveSpecies,1.0,1.0,1.0,1.0,1.0,1.0
81,SBODemoUS-Finance,0.0,0.0,0.0,0.0,0.0,0.0
82,SBODemoUS-Human Resources,1.0,1.0,1.0,0.5,0.5,0.5
83,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
84,NYSED_SRC2022,1.0,1.0,1.0,1.0,1.0,1.0
85,SBODemoUS-Inventory and Production,1.0,0.5,0.6666666666666666,1.0,0.2,0.33333333333333337
86,KlamathInvasiveSpecies,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.625,0.6666666666666666
87,SBODemoUS-Inventory and Production,0.0,0.0,0.0,0.0,0.0,0.0
88,ATBI,1.0,1.0,1.0,1.0,1.0,1.0
89,SBODemoUS-Business Partners,0.0,0.0,0.0,0.0,0.0,0.0
90,KlamathInvasiveSpecies,1.0,1.0,1.0,0.75,1.0,0.8571428571428571
91,CratersWildlifeObservations,1.0,1.0,1.0,1.0,0.6666666666666666,0.8
92,ATBI,1.0,1.0,1.0,0.0,1.0,0.0
93,NTSB,0.0,0.0,0.0,0.0,1.0,0.0
94,ATBI,0.5,0.5,0.5,0.0,0.0,0.0
95,SBODemoUS-Banking,0.0,0.0,0.0,0.0,0.0,0.0
96,CratersWildlifeObservations,1.0,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666
97,PacificIslandLandbirds,1.0,1.0,1.0,0.5,1.0,0.6666666666666666
98,SBODemoUS-Human Resources,1.0,0.3333333333333333,0.5,1.0,0.2857142857142857,0.4444444444444445
99,SBODemoUS-Sales Opportunities,1.0,0.5,0.6666666666666666,0.0,0.0,0.0
100,PacificIslandLandbirds,0.5,0.75,0.6,0.35294117647058826,0.75,0.48
101,NYSED_SRC2022,1.0,1.0,1.0,0.8,0.6666666666666666,0.7272727272727272
